id,x,y,true_label,typology,kmeans_cluster,kmeans_matched
452,-43.852196,-8.682025,2,t3,1,2
453,19.13119,-0.8714703,5,t6,0,5
454,-23.335915,16.327162,0,t1,5,0
455,-24.089024,15.757006,0,t1,5,0
456,-15.8800745,-35.510212,6,t7,3,6
457,-44.38785,-6.375056,2,t3,1,2
458,21.141249,23.154593,4,t5,7,4
459,8.002458,-25.725155,7,t8,6,7
460,23.837366,-11.83853,5,t6,0,5
461,19.809328,22.171772,4,t5,7,4
462,-40.596573,4.045999,2,t3,1,2
463,-34.30515,-14.352541,6,t7,1,2
464,-37.656605,19.399893,0,t1,5,0
465,38.094826,9.77982,4,t5,7,4
466,17.095419,25.799126,4,t5,7,4
467,-18.48574,-30.463232,6,t7,3,6
468,-46.084866,-0.63831717,2,t3,1,2
469,21.607828,-2.0457246,5,t6,0,5
470,-44.735622,-0.250436,2,t3,1,2
471,-6.7335153,-14.076642,3,t4,2,3
472,33.391094,17.009985,4,t5,7,4
473,7.686477,-25.687166,7,t8,6,7
474,37.95317,8.166162,4,t5,7,4
475,32.393223,-11.601459,5,t6,0,5
476,29.329048,-13.539264,5,t6,0,5
477,36.449406,17.677866,4,t5,7,4
478,21.754679,-2.2690775,5,t6,0,5
479,19.597666,21.644411,4,t5,7,4
480,-21.880331,23.575855,0,t1,5,0
481,33.88902,16.230186,4,t5,7,4
482,38.934734,-13.369029,5,t6,0,5
483,-37.423634,20.542158,0,t1,5,0
484,-6.7280097,-13.932056,3,t4,2,3
485,0.06975446,16.783176,3,t4,2,3
486,35.81244,17.496376,4,t5,7,4
487,18.854609,-1.8657954,5,t6,0,5
488,8.12424,-36.389786,7,t8,6,7
489,36.37493,17.619776,4,t5,7,4
490,-3.676286,-4.658488,3,t4,2,3
491,-37.174553,21.685947,0,t1,5,0
492,0.19452323,42.223675,1,t2,4,1
493,-29.42387,-14.329356,6,t7,3,6
494,-10.566816,-19.570513,6,t7,3,6
495,35.40885,20.286003,4,t5,7,4
496,-18.921612,23.10189,0,t1,5,0
497,-6.6667466,-14.226358,3,t4,2,3
498,33.965954,18.209013,4,t5,7,4
499,-35.312813,23.958822,0,t1,5,0
500,8.159035,-25.709442,7,t8,6,7
501,39.0901,-13.52907,5,t6,0,5
502,35.063595,20.343388,4,t5,7,4
503,-20.325466,21.465748,0,t1,5,0
504,-16.347136,-33.558685,6,t7,3,6
505,-19.375038,-32.30672,6,t7,3,6
506,-44.324627,-4.1914883,2,t3,1,2
507,18.85334,-37.668385,7,t8,6,7
508,0.9287717,14.153813,3,t4,2,3
509,-39.203236,-6.854793,2,t3,1,2
510,-20.318356,-30.612307,6,t7,3,6
511,-5.1698074,-5.8294806,3,t4,2,3
512,-37.6,19.301075,0,t1,5,0
513,18.814371,22.666645,4,t5,7,4
514,4.6224008,-13.777975,3,t4,2,3
515,-42.258232,0.9098779,2,t3,1,2
516,-1.5097637,-5.842621,3,t4,2,3
517,-22.086123,19.368317,0,t1,5,0
518,-34.171253,-8.499748,2,t3,1,2
519,23.945082,-8.555541,5,t6,0,5
520,30.598373,23.214499,4,t5,7,4
521,-17.635372,-33.706215,6,t7,3,6
522,-29.827785,15.389733,0,t1,5,0
523,-5.371257,-3.7642531,7,t8,2,3
524,-31.907877,-13.737653,6,t7,3,6
525,-44.744373,-0.06914944,2,t3,1,2
526,8.035043,-25.04877,7,t8,4,1
527,21.321486,22.677942,4,t5,7,4
528,-29.390179,-14.34532,6,t7,3,6
529,38.220345,7.516078,4,t5,7,4
530,19.146938,-1.0388492,5,t6,0,5
531,45.92665,-10.824223,5,t6,0,5
532,20.922043,-1.075532,5,t6,0,5
533,-37.56005,19.591282,0,t1,5,0
534,-3.65337,4.735087,3,t4,2,3
535,-43.503983,-6.524202,2,t3,1,2
536,-20.37513,22.624428,0,t1,5,0
537,19.578402,22.235569,4,t5,7,4
538,30.394398,23.886139,4,t5,7,4
539,23.706593,-8.586948,5,t6,0,5
540,-13.637853,-29.11912,6,t7,3,6
541,0.2024499,14.688079,3,t4,2,3
542,39.017582,-12.72041,5,t6,0,5
543,12.712705,35.033054,1,t2,4,1
544,32.09387,-13.256948,5,t6,0,5
545,-31.000866,19.46846,0,t1,5,0
546,0.40388277,10.0752,7,t8,2,3
547,23.870338,-11.884933,5,t6,0,5
548,16.16367,29.94879,1,t2,4,1
549,-3.6236992,5.226222,3,t4,2,3
550,-43.063206,-2.2259855,2,t3,1,2
551,17.860994,-36.58019,7,t8,6,7
552,36.373367,11.665896,4,t5,7,4
553,14.005209,32.26314,1,t2,4,1
554,-5.024183,-2.720258,7,t8,2,3
555,-16.26657,-32.567326,6,t7,3,6
556,-5.1027617,-3.747162,7,t8,2,3
557,19.538185,-37.253063,7,t8,6,7
558,-34.066765,-10.79864,2,t3,1,2
