typology,curve,candidate_frame,window_start,window_end
b2,curve_72,22,19,25
b2,curve_72,23,20,26
b2,curve_72,24,21,27
b2,curve_72,25,22,28
b2,curve_72,26,23,29
b2,curve_73,5,2,8
b2,curve_73,6,3,9
b2,curve_73,7,4,10
b2,curve_73,8,5,11
b2,curve_73,16,13,19
b2,curve_73,17,14,20
b2,curve_73,18,15,21
b2,curve_73,19,16,22
b2,curve_73,20,17,23
b2,curve_73,21,18,24
b2,curve_73,22,19,25
b2,curve_73,23,20,26
b2,curve_73,24,21,27
b2,curve_74,6,3,9
b2,curve_74,7,4,10
b2,curve_74,8,5,11
b2,curve_74,20,17,23
b2,curve_74,21,18,24
b2,curve_74,22,19,25
b2,curve_74,23,20,26
b2,curve_74,24,21,27
b2,curve_75,5,2,8
b2,curve_75,6,3,9
b2,curve_75,7,4,10
b2,curve_75,8,5,11
b2,curve_75,20,17,23
b2,curve_75,21,18,24
b2,curve_75,22,19,25
b2,curve_76,5,2,8
b2,curve_76,6,3,9
b2,curve_76,7,4,10
b2,curve_76,8,5,11
b2,curve_76,20,17,23
b2,curve_76,21,18,24
b2,curve_76,22,19,25
b2,curve_76,23,20,26
b2,curve_77,5,2,8
b2,curve_77,6,3,9
b2,curve_77,7,4,10
b2,curve_77,19,16,22
b2,curve_77,20,17,23
b2,curve_77,21,18,24
b2,curve_77,22,19,25
b2,curve_78,6,3,9
b2,curve_78,7,4,10
b2,curve_78,8,5,11
b2,curve_78,20,17,23
b2,curve_78,21,18,24
b2,curve_78,22,19,25
b2,curve_78,23,20,26
b2,curve_79,4,1,7
b2,curve_79,5,2,8
b2,curve_79,6,3,9
b2,curve_79,7,4,10
b2,curve_79,19,16,22
b2,curve_79,20,17,23
b2,curve_79,21,18,24
b2,curve_79,22,19,25
b2,curve_80,3,0,6
b2,curve_80,4,1,7
b2,curve_80,5,2,8
b2,curve_80,6,3,9
b2,curve_80,7,4,10
b2,curve_80,18,15,21
b2,curve_80,19,16,22
b2,curve_80,20,17,23
b2,curve_80,23,20,26
b2,curve_80,24,21,27
b2,curve_80,25,22,28
b2,curve_80,26,23,29
b2,curve_81,5,2,8
b2,curve_81,6,3,9
b2,curve_81,7,4,10
b2,curve_81,20,17,23
b2,curve_81,21,18,24
b2,curve_81,22,19,25
b2,curve_81,23,20,26
b2,curve_82,6,3,9
b2,curve_82,7,4,10
b2,curve_82,8,5,11
b2,curve_82,9,6,12
b2,curve_82,10,7,13
b2,curve_82,21,18,24
b2,curve_82,22,19,25
b2,curve_82,23,20,26
b2,curve_82,24,21,27
b2,curve_83,5,2,8
b2,curve_83,6,3,9
b2,curve_83,7,4,10
b2,curve_83,8,5,11
b2,curve_83,9,6,12
b2,curve_83,20,17,23
b2,curve_83,21,18,24
b2,curve_83,22,19,25
b2,curve_83,23,20,26
b2,curve_83,24,21,27
b2,curve_84,5,2,8
b2,curve_84,6,3,9
b2,curve_84,7,4,10
b2,curve_84,8,5,11
b2,curve_84,20,17,23
b2,curve_84,21,18,24
b2,curve_84,22,19,25
b2,curve_84,23,20,26
b2,curve_85,5,2,8
b2,curve_85,6,3,9
b2,curve_85,7,4,10
b2,curve_85,20,17,23
b2,curve_85,21,18,24
